timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1.74239E+12,296,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,101,0,63
1.74239E+12,101,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,101,0,63
1.74239E+12,194,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,194,0,56
1.74239E+12,110,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,26,0,0
1.74239E+12,26,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,26,0,0
1.74239E+12,84,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,83,0,0
1.74239E+12,88,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,11,0,0
1.74239E+12,11,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,11,0,0
1.74239E+12,77,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,77,0,0
1.74239E+12,92,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,11,0,0
1.74239E+12,11,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,11,0,0
1.74239E+12,81,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,81,0,0
1.74239E+12,118,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,23,0,0
1.74239E+12,23,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,23,0,0
1.74239E+12,95,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,94,0,0
1.74239E+12,127,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,12,0,0
1.74239E+12,12,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,12,0,0
1.74239E+12,115,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,115,0,0
1.74239E+12,87,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,22,0,0
1.74239E+12,22,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,22,0,0
1.74239E+12,65,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,65,0,0
1.74239E+12,143,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,34,0,0
1.74239E+12,34,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,34,0,0
1.74239E+12,108,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,108,0,0
1.74239E+12,92,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,19,0,0
1.74239E+12,19,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,19,0,0
1.74239E+12,72,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,72,0,0
1.74239E+12,84,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,20,0,0
1.74239E+12,20,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,20,0,0
1.74239E+12,63,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,62,0,0
1.74239E+12,80,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,11,0,0
1.74239E+12,11,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,11,0,0
1.74239E+12,69,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,69,0,0
1.74239E+12,88,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,13,0,0
1.74239E+12,13,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,13,0,0
1.74239E+12,75,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,75,0,0
1.74239E+12,91,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,11,0,0
1.74239E+12,11,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,11,0,0
1.74239E+12,79,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,79,0,0
1.74239E+12,82,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,11,0,0
1.74239E+12,11,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,11,0,0
1.74239E+12,71,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,71,0,0
1.74239E+12,81,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,12,0,0
1.74239E+12,12,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,12,0,0
1.74239E+12,69,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,69,0,0
1.74239E+12,115,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,20,0,0
1.74239E+12,20,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,20,0,0
1.74239E+12,95,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,95,0,0
1.74239E+12,89,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,10,0,0
1.74239E+12,10,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,10,0,0
1.74239E+12,79,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,79,0,0
1.74239E+12,71,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,567,450,1,1,10,0,0
1.74239E+12,10,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,TRUE,,231,225,1,1,10,0,0
1.74239E+12,60,HTTP Request-1,200,OK,Thread Group 1-1,text,TRUE,,336,225,1,1,60,0,0
